Department,Name,Title,Photo
设计系,郗小超,副教授,郗小超.jpg
设计系,谭剑,副教授,谭剑.jpg
设计系,吕菲,副教授,吕菲.jpg
设计系,李铁萌,副教授,李铁萌.jpg
设计系,高盟,副教授,高盟.jpg
设计系,吕美玉,副教授,吕美玉.jpg
设计系,盛卿,副教授,盛卿.jpg
设计系,孙炜,副教授,孙炜.jpg
设计系,由振伟,副教授,由振伟.jpg
数字媒体系,汪晓春,副教授,汪晓春.jpg
数字媒体系,柳杨,副教授,柳杨.jpg
数字媒体系,符强,副教授,符强.jpg
数字媒体系,李萌,副教授,李萌.jpg
数字媒体系,兰名荥,副教授,兰名荥.jpg
数字媒体系,张跃,副教授,张跃.jpg
传播学系,高崇,副教授,高崇.jpg
传播学系,黄淼,副教授,黄淼.jpg
传播学系,梁爽,副教授,梁爽.jpg
传播学系,黄传武,副教授,黄传武.jpg
传播学系,蒋淑媛,副教授,蒋淑媛.jpg
传播学系,梁刚,副教授,梁刚.jpg
传播学系,刘剑,副教授,刘剑.jpg
传播学系,任乐毅,副教授,任乐毅.jpg
传播学系,万柳,副教授,万柳.jpg
艺术教研中心,王海智,副教授,王海智.jpg
艺术教研中心,郑晓慧,副教授,郑晓慧.jpg
